CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48029121119,Texas,Bexar County,1,0,0,0,0,78247
48029121120,Texas,Bexar County,1,0,0,0,0,78247
48029121121,Texas,Bexar County,1,0,0,0,0,78247
48029121122,Texas,Bexar County,1,0,0,0,0,78217
48029121122,Texas,Bexar County,1,0,0,0,0,78247
48029121203,Texas,Bexar County,1,1,1,1,1,78217
48029121203,Texas,Bexar County,1,1,1,1,1,78218
48029121203,Texas,Bexar County,1,1,1,1,1,78233
48029121203,Texas,Bexar County,1,1,1,1,1,78265
48029121203,Texas,Bexar County,1,1,1,1,1,78280
48029121203,Texas,Bexar County,1,1,1,1,1,78284
48029121204,Texas,Bexar County,1,1,1,1,1,78217
48029121204,Texas,Bexar County,1,1,1,1,1,78285
48029121205,Texas,Bexar County,1,0,1,0,1,78217
48029121205,Texas,Bexar County,1,0,1,0,1,78233
48029121206,Texas,Bexar County,1,0,0,0,0,78217
48029121206,Texas,Bexar County,1,0,0,0,0,78233
48029121300,Texas,Bexar County,1,0,0,0,0,78218
48029121300,Texas,Bexar County,1,0,0,0,0,78219
48029121300,Texas,Bexar County,1,0,0,0,0,78233
48029121300,Texas,Bexar County,1,0,0,0,0,78239
48029121402,Texas,Bexar County,1,1,1,1,0,78218
48029121402,Texas,Bexar County,1,1,1,1,0,78239
48029121403,Texas,Bexar County,1,0,1,0,0,78218
48029121403,Texas,Bexar County,1,0,1,0,0,78239
48029121404,Texas,Bexar County,1,1,1,1,1,78218
48029121501,Texas,Bexar County,1,0,0,0,0,78109
48029121501,Texas,Bexar County,1,0,0,0,0,78233
48029121504,Texas,Bexar County,1,0,0,0,0,78233
48029121504,Texas,Bexar County,1,0,0,0,0,78239
48029121505,Texas,Bexar County,1,0,0,0,0,78109
